id,gender,age,education,field_of_studies,is_studying,county,relative_wage,years_since_job_change,years_of_experience,hours_of_training,is_certified,size_of_company,type_of_company,willing_to_change_job
1,Male,22,higher_BSc,science,no,county_118,162.84,1,2,18,1,<10,private_company,No
2,Male,27,higher_BSc,science,no,county_028,151.34,1,6,24,1,50-99,private_company,No
3,Male,38,higher_BSc,science,no,county_031,114.17,1,13,96,1,50-99,startup_with_funding,No
4,Unknown,47,higher_BSc,science,no,county_080,123.55,>4,>20,36,1,100-500,private_company,No
5,Male,28,higher_BSc,science,no,county_118,162.84,1,5,106,1,1000-4999,private_company,No
6,Male,25,higher_BSc,science,no,county_059,110.45,1,3,43,1,10000+,private_company,Yes
7,Male,32,secondary,no_information,full_time,county_117,163.55,1,13,48,1,50-99,private_company,Yes
8,Male,23,higher_BSc,science,no,county_074,162.84,1,4,102,1,10-49,startup_with_funding,No
9,Male,28,higher_BSc,science,no,county_059,110.45,1,6,88,1,<10,startup_with_funding,No
10,Male,28,secondary,no_information,no,county_049,158.06,>4,8,110,1,100-500,private_company,No
11,Male,24,higher_BSc,science,full_time,county_059,110.45,1,1,9,1,500-999,private_company,Yes
12,Unknown,26,higher_MSc,science,no,county_028,151.34,1,3,15,1,unknown,no_information,No
13,Unknown,26,higher_BSc,science,full_time,county_040,134.87,never_changed,6,22,0,unknown,no_information,No
14,Unknown,42,higher_BSc,science,no,county_118,162.84,>4,20,150,1,100-500,private_company,No
15,Female,48,higher_BSc,science,no,county_118,162.84,1,>20,69,1,10000+,private_company,No
16,Male,35,higher_BSc,science,full_time,county_018,146.91,1,11,15,1,<10,private_company,No
17,Unknown,48,Phd,science,no,county_118,162.84,>4,>20,184,1,500-999,NGO,No
18,Male,25,higher_BSc,other,part_time,county_118,162.84,2,5,70,1,10-49,private_company,No
19,Female,34,higher_BSc,science,no,county_059,110.45,1,11,56,1,500-999,private_company,Yes
20,Male,38,higher_BSc,science,no,county_117,163.55,1,17,2,1,unknown,no_information,No
21,Male,32,higher_BSc,science,no,county_117,163.55,1,9,7,1,50-99,private_company,No
22,Male,47,secondary,no_information,no,county_110,163.9,never_changed,>20,12,1,<10,private_company,No
23,Male,26,higher_BSc,science,full_time,county_022,133.46,never_changed,6,11,0,unknown,no_information,Yes
24,Unknown,26,secondary,no_information,no,county_025,123.55,never_changed,2,9,0,unknown,no_information,No
25,Male,30,higher_BSc,science,part_time,county_118,162.84,2,6,96,1,10000+,private_company,No
26,Male,50,Phd,other,no,county_117,163.55,>4,>20,12,1,10000+,private_company,No
27,Male,50,higher_BSc,science,no,county_075,161.07,>4,>20,27,1,unknown,no_information,No
28,Male,50,higher_BSc,science,no,county_119,142.31,1,>20,99,1,500-999,private_company,No
29,Male,42,higher_BSc,science,part_time,county_092,147.97,1,19,4,1,100-500,public_sector,No
30,Male,47,higher_MSc,science,no,county_075,161.07,2,>20,324,1,unknown,no_information,No
31,Male,26,higher_BSc,science,full_time,county_118,162.84,never_changed,5,98,0,unknown,no_information,No
32,Male,39,higher_MSc,science,no_information,county_041,157.53,>4,15,26,1,50-99,private_company,No
33,Unknown,30,higher_MSc,science,full_time,county_110,163.9,>4,8,19,0,1000-4999,public_sector,No
34,Male,34,primary,no_information,no,county_022,133.46,never_changed,10,15,0,unknown,no_information,No
35,Male,47,higher_BSc,humanities,no,county_118,162.84,1,>20,77,1,unknown,no_information,No
36,Other,28,higher_BSc,science,no,county_118,162.84,2,5,121,1,unknown,no_information,Yes
37,Female,29,higher_BSc,other,no,county_118,162.84,2,6,56,0,unknown,no_information,Yes
38,Male,29,higher_BSc,science,no,county_059,110.45,>4,6,161,1,50-99,private_company,No
39,Male,47,higher_BSc,science,no,county_118,162.84,1,>20,3,1,unknown,no_information,Yes
40,Female,24,higher_MSc,science,no,county_121,157,1,5,218,0,50-99,private_company,No
41,Male,29,higher_BSc,science,no,county_118,162.84,1,8,106,1,unknown,no_information,Yes
42,Male,23,higher_BSc,business,no,county_118,162.84,3,3,25,0,unknown,no_information,Yes
43,Unknown,24,higher_MSc,science,no,county_118,162.84,unknown,unknown,64,1,10000+,no_information,No
44,Male,49,higher_BSc,science,no,county_108,131.51,1,>20,20,1,50-99,private_company,No
45,Unknown,48,higher_BSc,science,no,county_118,162.84,1,>20,47,0,1000-4999,private_company,No
46,Male,25,higher_BSc,science,part_time,county_059,110.45,2,3,328,1,10-49,private_company,Yes
47,Male,38,higher_BSc,science,no,county_118,162.84,4,18,26,1,50-99,startup_with_funding,No
48,Male,36,higher_BSc,science,no,county_118,162.84,>4,14,182,1,5000-9999,private_company,No
49,Male,32,higher_MSc,science,full_time,county_110,163.9,1,11,22,1,5000-9999,public_sector,No
50,Male,29,higher_BSc,science,no,county_059,110.45,never_changed,4,84,1,500-999,private_company,Yes
51,Unknown,36,higher_MSc,science,no,county_053,166.2,2,14,12,1,1000-4999,private_company,No
52,Unknown,34,higher_BSc,science,no,county_025,123.55,2,9,72,1,10-49,private_company,No
53,Unknown,40,higher_BSc,humanities,no,county_006,122.31,3,16,15,1,unknown,no_information,No
54,Female,33,higher_BSc,science,full_time,county_110,163.9,4,10,28,0,1000-4999,public_sector,No
55,Male,28,higher_BSc,science,part_time,county_118,162.84,4,9,162,1,50-99,private_company,No
56,Male,28,higher_BSc,science,full_time,county_118,162.84,>4,7,50,1,10-49,private_company,No
57,Male,30,higher_BSc,science,no,county_118,162.84,1,8,44,1,100-500,private_company,No
58,Unknown,24,higher_BSc,science,full_time,county_059,110.45,1,<1,83,0,100-500,private_company,No
59,Male,49,higher_BSc,business,no,county_118,162.84,1,>20,26,1,500-999,private_company,No
60,Male,27,primary,no_information,no,county_020,166.2,never_changed,2,204,0,unknown,no_information,No
61,Male,21,higher_BSc,science,no,county_077,135.58,never_changed,1,19,0,unknown,no_information,Yes
62,Male,46,higher_BSc,science,part_time,county_020,166.2,1,>20,122,0,50-99,private_company,No
63,Male,44,higher_BSc,arts,no,county_075,161.07,1,>20,43,1,50-99,private_company,No
64,Unknown,20,higher_BSc,science,no,county_019,123.55,1,1,63,0,unknown,no_information,Yes
65,Male,22,higher_MSc,science,no,county_059,110.45,1,<1,26,1,50-99,private_company,Yes
66,Male,46,higher_MSc,science,no,county_020,166.2,2,>20,163,1,50-99,private_company,No
